Group,GroupDir,Title,Year,Album,Filename,token_n,sentiment_score
New,new,PAPARAZZI,2018,ANTI ANTI,new_17_paparazzi.txt,495,-0.23515643751515153
New,new,TWILIGHT,2021,FOREVER DAZE,new_20_twilight.txt,222,-0.2977011740990991
New,new,そっけない,2018,ANTI ANTI,new_04_sokkenai.txt,206,-0.22937359029126214
New,new,なんでもないや,2016,人間開花,new_02_nandemo.txt,254,-0.32107084212598425
New,new,カタルシスト,2018,ANTI ANTI,new_13_catharsist.txt,301,-0.2347719065116279
New,new,グランドエスケープ,2019,天気の子,new_06_grand.txt,222,-0.39231921328828834
New,new,サイハテアイニ,2017,人間開花(S),new_11_saihate.txt,215,-0.2841022604651163
New,new,スパークル,2016,人間開花,new_03_sparkle.txt,114,-0.32615811403508777
New,new,万歳千唱,2018,ANTI ANTI,new_12_banzai.txt,198,-0.23647797853535354
New,new,光,2016,人間開花,new_16_hikari.txt,135,-0.2727569270370371
New,new,前前前世,2016,人間開花,new_01_zenzen.txt,194,-0.30517801288659796
New,new,夢灯籠,2016,人間開花,new_08_yumetourou.txt,98,-0.3499420525510204
New,new,愛にできることはまだあるかい,2019,天気の子,new_05_ainidekiru.txt,224,-0.13111375
New,new,棒人間,2016,人間開花,new_09_boningen.txt,247,-0.22071490020242915
New,new,正解,2018,ANTI ANTI,new_07_seikai.txt,245,-0.2701135640816327
New,new,泣き出しそうだよ,2018,ANTI ANTI,new_14_nakidashiso.txt,179,-0.25101298575418995
New,new,洗脳,2018,ANTI ANTI,new_18_senno.txt,321,-0.25826275183800623
New,new,猫じゃらし,2020,FOREVER DAZE,new_10_neko.txt,187,-0.3001047422459893
New,new,週刊少年ジャンプ,2016,人間開花,new_15_jump.txt,242,-0.2558590838842975
New,new,鋼の羽根,2021,FOREVER DAZE,new_19_hagane.txt,280,-0.2669276376785714
Old,old,25ｺ目の染色体,2005,RADWIMPS 3,old_12_25ko.txt,312,-0.1843746735576923
Old,old,DADA,2011,絶体絶命,old_13_dada.txt,228,-0.21638236074561404
Old,old,DARMA GRAND PRIX,2013,×と○と罪と,old_05_darma.txt,221,-0.2716056595475113
Old,old,Tummy,2013,×と○と罪と,old_19_tummy.txt,587,-0.08453983868654173
Old,old,me me she,2006,RADWIMPS 4,old_04_memeshe.txt,179,-0.29986486033519555
Old,old,いいんですか?,2006,RADWIMPS 4,old_03_iindesuka.txt,327,-0.07923483207951071
Old,old,おしゃかしゃま,2009,アルトコロニー,old_08_oshakashama.txt,262,-0.18984927061068704
Old,old,ふたりごと,2006,RADWIMPS 4,old_02_futarigoto.txt,296,-0.1725008691891892
Old,old,オーダーメイド,2008,アルトコロニー,old_15_ordermade.txt,255,-0.21103777803921567
Old,old,セプテンバーさん,2006,RADWIMPS 3,old_11_september.txt,221,-0.31560526131221717
Old,old,トレモロ,2006,RADWIMPS 3,old_07_tremolo.txt,178,-0.32724149213483145
Old,old,五月の蝿,2013,×と○と罪と,old_16_gogatsu.txt,266,-0.25582636202631576
Old,old,会心の一撃,2013,×と○と罪と,old_06_kaishin.txt,285,-0.3194494180701754
Old,old,君と羊と青,2011,絶体絶命,old_09_kimitohitsuji.txt,197,-0.3455221802030457
Old,old,夢番地,2006,RADWIMPS 4,old_14_yumebanchi.txt,284,-0.2753467775
Old,old,実況中継,2013,×と○と罪と,old_20_jikkyo.txt,471,-0.2763107627388535
Old,old,携帯電話,2010,絶体絶命,old_17_keitai.txt,249,-0.19926548995983936
Old,old,最大公約数,2006,RADWIMPS 3,old_10_saidai.txt,265,-0.25264892188679244
Old,old,有心論,2006,RADWIMPS 4,old_01_yushinron.txt,295,-0.27905579966101696
Old,old,狭心症,2011,絶体絶命,old_18_kyoshinsho.txt,292,-0.25479820941780823
